Instância,Ocorrência
bora,903
dum,21
duma,6
duns,3
num,6786
numa,3321
numca,55
nuns,3
né,19110
pra,3465028
pras,276
pro,41041
pros,741
ta,72010
tamo,78
tava,6328
to,1770
tou,10
tá,414505
tô,3570
vamo,231
vamu,1
